syscall_rate,open_unlink_ratio,unique_files_accessed,failed_syscall_ratio,process_spawn_rate,file_churn_rate,label
233,1.372340425531915,102,0.0,10,94,1
229,1.3736263736263736,101,0.0,13,91,1
1476,15.033333333333333,1283,0.11924119241192412,33,90,1
284,1.6736842105263159,118,0.0,30,95,1
224,1.3118279569892473,97,0.0,9,93,1
224,1.4157303370786516,101,0.008928571428571428,9,89,1
415,3.6823529411764704,279,0.12289156626506025,17,85,1
1324,12.34020618556701,1117,0.09441087613293052,30,97,1
290,1.8571428571428572,130,0.0,30,91,1
220,1.3977272727272727,99,0.0,9,88,1
213,1.3448275862068966,94,0.0,9,87,1
907,9.865853658536585,774,0.16427783902976847,16,82,1
834,7.02,637,0.047961630695443645,32,100,1
279,1.788888888888889,119,0.0,28,90,1
220,1.3186813186813187,96,0.0,9,91,1
224,1.3516483516483517,98,0.0,10,91,1
1482,14.87912087912088,1281,0.11875843454790823,37,91,1
280,1.6989247311827957,119,0.0,29,93,1
222,1.3296703296703296,96,0.0,10,91,1
222,1.3296703296703296,98,0.0,10,91,1
217,1.3370786516853932,95,0.0,9,89,1
1480,15.397727272727273,1281,0.11891891891891893,37,88,1
272,1.6703296703296704,114,0.0,29,91,1
233,1.4505494505494505,108,0.0,10,91,1
222,1.3406593406593406,97,0.0,9,91,1
351,1.503875968992248,178,0.09401709401709402,15,129,1
1535,10.984,1291,0.13289902280130292,37,125,1
315,1.6568627450980393,131,0.022222222222222223,30,102,1
236,1.4301075268817205,112,0.00847457627118644,10,93,1
226,1.3846153846153846,99,0.0,9,91,1
220,1.2934782608695652,98,0.00909090909090909,9,92,1
1482,14.87912087912088,1279,0.11875843454790823,37,91,1
342,1.5847457627118644,148,0.0029239766081871343,31,118,1
218,1.4022988505747127,97,0.0,9,87,1
255,1.2777777777777777,116,0.0,9,108,1
224,1.1938775510204083,95,0.04017857142857143,9,98,1
1487,14.09375,1278,0.12373907195696032,38,96,1
297,1.8210526315789475,126,0.003367003367003367,29,95,1
243,1.4526315789473685,115,0.00823045267489712,10,95,1
222,1.3296703296703296,98,0.0,10,91,1
222,1.3296703296703296,98,0.0,10,91,1
1498,14.208333333333334,1290,0.11815754339118825,38,96,1
340,1.5916666666666666,145,0.0058823529411764705,29,120,1
232,1.4021739130434783,106,0.004310344827586207,11,92,1
220,1.3186813186813187,97,0.004545454545454545,9,91,1
234,1.4285714285714286,107,0.0,13,91,1
1474,14.824175824175825,1278,0.11940298507462686,34,91,1
280,1.6702127659574468,118,0.0035714285714285713,29,94,1
221,1.2934782608695652,98,0.004524886877828055,10,92,1
230,1.3655913978494623,100,0.008695652173913044,10,93,1
328,2.574712643678161,187,0.08536585365853659,17,87,1
1383,12.53,1200,0.10918293564714389,30,100,1
284,1.7127659574468086,121,0.0,29,94,1
275,1.2844827586206897,124,0.0,10,116,1
220,1.3186813186813187,95,0.0,9,91,1
670,7.1625,540,0.1761194029850746,17,80,1
0,0.0,0,0.0,0,0,1
1,1.0,0,1.0,0,0,1
1,1.0,0,1.0,0,0,1
1,1.0,0,1.0,0,0,1
1,1.0,0,1.0,0,0,1
1,1.0,0,1.0,0,0,1
1,1.0,0,1.0,0,0,1
1,1.0,0,1.0,0,0,1
1,1.0,0,1.0,0,0,1
1,1.0,0,1.0,0,0,1
1,1.0,0,1.0,0,0,1
1,1.0,0,1.0,0,0,1
1,1.0,0,1.0,0,0,1
